Day,Number of lecture,Group,Lesson,Type,Prof,Aud
0,1,К-15,Алгебра та геометрія,лекція,доц. Рабанович В.І.,43
0,1,К-16,Алгебра та геометрія,лекція,доц. Рабанович В.І.,43
0,1,К-17,Алгебра та геометрія,лекція,доц. Рабанович В.І.,43
0,1,К-18,Вступ до університетських студій,лекція,доц. Набока С.В.,39
0,1,К-19,Вступ до університетських студій,лекція,доц. Набока С.В.,39
0,2,К-18,Основи програмування,лекція,доц. Іванов Є.О.,221
0,2,К-19,Основи програмування,лекція,доц. Іванов Є.О.,221
0,2,К-15,Вступ до університетських студій,лекція,доц. Набока С.В.,43
0,2,К-16,Вступ до університетських студій,лекція,доц. Набока С.В.,43
0,2,К-17,Вступ до університетських студій,лекція,доц. Набока С.В.,43
0,3,К-18,Фізичні основи комп"ютерної електроніки,лекція,Клімов О.С.,42
0,3,К-19,Фізичні основи комп"ютерної електроніки,лекція,Клімов О.С.,42
0,3,К-15,Програмування,лекція,доц. Ставровський Б.А.,43
0,3,К-16,Програмування,лекція,доц. Ставровський Б.А.,43
0,3,К-17,Програмування,лекція,доц. Ставровський Б.А.,43
1,1,К-18,Іноземна мова,практичні,Гончаренко О.А.,9
1,1,К-19,Іноземна мова,практичні,Дороніна Н.В.,12
1,1,К-15,Математичний аналіз,лекція,доц.Анікушин А.В.,43
1,1,К-16,Математичний аналіз,лекція,доц.Анікушин А.В.,43
1,1,К-17,Математичний аналіз,лекція,доц.Анікушин А.В.,43
1,2,К-15,Алгебра та геометрія,практичні,Руденко О.В.,17
1,2,К-16,Програмування,лабораторні,д.Коваль Ю.В.,205
1,2,К-17,Дискретна математика,практичні,д.Іванов Є.О.,9
1,2,К-18,Дискретна математика,практичні,а.Ліндер Я.М.,10
1,2,К-19,Фізичні основи комп"ютерної електроніки,лабораторні,а.Клімов О.С.,305
1,3,К-19,Іноземна мова,практичні,Дороніна Н.В.,12
1,3,К-17,Алгебра та геометрія,практичні,п.Закусило О.К.,303
1,3,К-18,Іноземна мова,практичні,Гончаренко О.А.,8
1,3,К-16,Дискретна математика,практичні,а.Ліндер Я.М.,14
1,3,К-15,Програмування,лабораторні,д.Коваль Ю.В.,205
2,1,К-15,Математичний аналіз,практичні,д.Анікушин А.В.,14
2,1,К-16,Математичний аналіз,практичні,п.Рубльов Б.В.,13
2,1,К-17,Програмування,лабораторні,а.Коваль Ю.В.,203
2,1,К-18,Основи програмування,лабораторні,а. Ліндер Я.М.,610
2,1,К-19,Дискретна математика,практичні,д.Шевченко В.П.,8
2,2,К-15,Математичний аналіз,лекція,доц.Анікушин А.В.,43
2,2,К-16,Математичний аналіз,лекція,доц.Анікушин А.В.,43
2,2,К-17,Математичний аналіз,лекція,доц.Анікушин А.В.,43
2,2,К-18,Основи програмування,лабораторні,а. Ліндер Я.М.,610
2,2,К-19,Алгебра та геометрія,практичні,д.Самойленко І.В.,14
2,3,К-19,Іноземна мова,практичні,Дороніна Н.В.,12
2,3,К-18,Іноземна мова,практичні,Гончаренко О.А.,9
2,3,К-17,Алгебра та геометрія,практичні,п.Закусило О.К.,33
2,3,К-16,Математичний аналіз,практичні,п.Рубльов Б.В.,302
2,3,К-15,Алгебра та геометрія,практичні,Руденко О.В.,10
3,1,К-15,Дискретна математика,лекція,доц. Шевченко В.П.,39
3,1,К-16,Дискретна математика,лекція,доц. Шевченко В.П.,39
3,1,К-17,Дискретна математика,лекція,доц. Шевченко В.П.,39
3,1,К-18,Фізичні основи комп"ютерної електроніки,лабораторні,Клімов О.С.,14
3,1,К-19,Основи програмування,лабораторні,а. Ліндер Я.М.,231
3,2,К-19,Дискретна математика,лекція,доц. Шевченко В.П.,39
3,2,К-18,Дискретна математика,лекція,доц. Шевченко В.П.,39
3,3,К-18,Математичний аналіз,практичні,а.Гуляницький А.Л.,303
3,3,К-19,Основи програмування,лабораторні,а. Ліндер Я.М.,231
3,2,К-17,Математичний аналіз,практичні,а.Гуляницький А.Л.,303
3,2,К-16,Алгебра та геометрія,практичні,д.Довгай Б.В.,18
3,2,К-15,Дискретна математика,практичні,д.Петрушенко А.,16
3,3,К-17,Іноземна мова,практичні,Зеліковьска О.О.,10
3,3,К-15,Іноземна мова,практичні,Слічна В.М.,6
3,3,К-16,Іноземна мова,практичні,Паламарчук К.М.,8
4,1,К-15,Математичний аналіз,практичні,а.Денисов С.,18
4,1,К-17,атематичний аналіз,практичні,а.Гуляницький А.Л.,33
4,1,К-18,Алгебра та геометрія,лекція,д. Довгай Б.В.,306
4,1,К-19,Алгебра та геометрія,лекція,д. Довгай Б.В.,306
4,2,К-18,Алгебра та геометрія,практичні,д. Довгай Б.В.,14
4,2,К-19,Математичний аналіз,практичні,Аджубей Л.Т.,16
4,2,К-17,Іноземна мова,практичні,Зеліковьска О.О.,10
4,2,К-15,Іноземна мова,практичні,Слічна В.М.,6
4,2,К-16,Іноземна мова,практичні,Паламарчук К.М.,8
4,3,К-19,Математичний аналіз,лекція,Аджубей Л.Т.,40
4,3,К-18,Математичний аналіз,лекція,Аджубей Л.Т.,40
4,3,К-17,Іноземна мова,практичні,Зеліковьска О.О.,10
4,3,К-15,Іноземна мова,практичні,Слічна В.М.,6
4,3,К-16,Іноземна мова,практичні,Паламарчук К.М.,8
