Group,Lesson,Lecture,count
К-15,Іноземна мова,False,3
К-15,Алгебра та геометрія,False,2
К-15,Алгебра та геометрія,True,1
К-15,Вступ до університетських студій,True,1
К-15,Дискретна математика,False,1
К-15,Дискретна математика,True,1
К-15,Математичний аналіз,False,2
К-15,Математичний аналіз,True,2
К-15,Програмування,False,1
К-15,Програмування,True,1
К-16,Іноземна мова,False,3
К-16,Алгебра та геометрія,False,1
К-16,Алгебра та геометрія,True,1
К-16,Вступ до університетських студій,True,1
К-16,Дискретна математика,False,1
К-16,Дискретна математика,True,1
К-16,Математичний аналіз,False,2
К-16,Математичний аналіз,True,2
К-16,Програмування,False,1
К-16,Програмування,True,1
К-17,Іноземна мова,False,3
К-17,Алгебра та геометрія,False,2
К-17,Алгебра та геометрія,True,1
К-17,Вступ до університетських студій,True,1
К-17,Дискретна математика,False,1
К-17,Дискретна математика,True,1
К-17,Математичний аналіз,False,1
К-17,Математичний аналіз,True,2
К-17,Програмування,False,1
К-17,Програмування,True,1
К-17,Математичний аналіз,False,1
К-18,Іноземна мова,False,3
К-18,Алгебра та геометрія,False,1
К-18,Алгебра та геометрія,True,1
К-18,Вступ до університетських студій,True,1
К-18,Дискретна математика,False,1
К-18,Дискретна математика,True,1
К-18,Математичний аналіз,False,1
К-18,Математичний аналіз,True,1
К-18,Основи програмування,False,2
К-18,Основи програмування,True,1
К-18,"Фізичні основи комп""ютерної електроніки",False,1
К-18,"Фізичні основи комп""ютерної електроніки",True,1
К-19,Іноземна мова,False,3
К-19,Алгебра та геометрія,False,1
К-19,Алгебра та геометрія,True,1
К-19,Вступ до університетських студій,True,1
К-19,Дискретна математика,False,1
К-19,Дискретна математика,True,1
К-19,Математичний аналіз,False,1
К-19,Математичний аналіз,True,1
К-19,Основи програмування,False,2
К-19,Основи програмування,True,1
К-19,"Фізичні основи комп""ютерної електроніки",False,1
К-19,"Фізичні основи комп""ютерної електроніки",True,1
К-25,Бази даних та інформаційні системи,True,1
К-26,Бази даних та інформаційні системи,True,1
К-27,Бази даних та інформаційні системи,True,1
К-25,Бази даних та інформаційні системи,False,1
К-26,Бази даних та інформаційні системи,False,1
К-27,Бази даних та інформаційні системи,False,1
К-25,Дослідження операцій,True,1
К-26,Дослідження операцій,True,1
К-27,Дослідження операцій,True,1
К-25,Дослідження операцій,False,1
К-26,Дослідження операцій,False,1
К-27,Дослідження операцій,False,1
К-25,Математична статистика,True,1
К-26,Математична статистика,True,1
К-27,Математична статистика,True,1
К-25,Математична статистика,False,1
К-26,Математична статистика,False,1
К-27,Математична статистика,False,1
К-25,Теорія алгоритмів,True,1
К-26,Теорія алгоритмів,True,1
К-27,Теорія алгоритмів,True,1
К-25,Теорія алгоритмів,False,1
К-26,Теорія алгоритмів,False,1
К-27,Теорія алгоритмів,False,1
К-25,Алгоритміка,True,1
К-26,Алгоритміка,True,1
К-27,Алгоритміка,True,1
К-25,Прикладні алгоритми,True,1
К-26,Прикладні алгоритми,True,1
К-27,Прикладні алгоритми,True,1
К-25,Інструментальні середовища та технології програмування,True,1
К-26,Інструментальні середовища та технології програмування,True,1
К-27,Інструментальні середовища та технології програмування,True,1
К-25,Інструментальні середовища та технології програмування,False,1
К-26,Інструментальні середовища та технології програмування,False,1
К-27,Інструментальні середовища та технології програмування,False,1
К-25,Чисельні методи,True,1
К-26,Чисельні методи,True,1
К-27,Чисельні методи,True,1
К-28,Аналіз даних,True,1
К-29,Аналіз даних,True,1
К-28,Аналіз даних,False,1
К-29,Аналіз даних,False,1
К-28,Алгоритми та складність,True,1
К-29,Алгоритми та складність,True,1
К-28,Алгоритми та складність,False,1
К-29,Алгоритми та складність,False,1
К-28,Основи об'єктно-орієнтованого програмування,True,1
К-29,Основи об'єктно-орієнтованого програмування,True,1
К-28,Основи об'єктно-орієнтованого програмування,False,1
К-29,Основи об'єктно-орієнтованого програмування,False,1
К-28,Теорія алгоритмів та математична логіка,True,1
К-29,Теорія алгоритмів та математична логіка,True,1
К-28,Екологічні та економічні процеси та їх моделювання,True,1
К-29,Екологічні та економічні процеси та їх моделювання,True,1
К-28,Науковий образ світу,True,1
К-29,Науковий образ світу,True,1
